Schools,Hospitals,Restaurants,Shopping Malls,Parks,Theaters,Banks,Supermarkets,Metro Stations,Pharmacies,Gyms,Libraries,ATMs,Pet Stores,Electronics Stores,Toy Stores,Bookstores,Hardware Stores,Gas Stations,Hotels,Area,Cluster,Price,amenities
4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,0.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,Ekta Colony,3,20000000,Best
3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,Parsi Colony,3,20000000,Best
3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,0.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,Mysore Colony,1,8000000,Good
3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,0.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,Vahatuk Nagar,3,20000000,Best
4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,0.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,Mandapeshwar Caves,3,20000000,Best
3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Basant Park,3,20000000,Best
4.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,0.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,Bandstand Promenade,0,5000000,Low
3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,0.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,Vakola Pipeline,3,20000000,Best
3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,Shankar Wadi,3,20000000,Best
3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,Pestom sagar,3,20000000,Best
3.0,3.0,26.0,3.0,2.0,3.0,3.0,4.0,3.0,0.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,26.0,3.0,Sarvoday Nagar,4,30000000,Best
3.0,3.0,26.0,3.0,3.0,4.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,26.0,3.0,Hanuman Nagar,4,30000000,Best
3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,0.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,0.0,Navy Nagar,1,8000000,Good
3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,0.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,Park Site,1,8000000,Good
3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,Atur Park,3,20000000,Best
3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,Sindhi Society,1,8000000,Good
3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,0.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,Mahul Village,1,8000000,Good
4.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,Vazira Naka,3,20000000,Best
4.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,0.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,Pereira Road,0,5000000,Low
3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,Kalbadevi Road,2,10000000,Best
4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,Yashwant Nagar,3,20000000,Best
3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,0.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,Ambedkar Road,2,10000000,Best
3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,0.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,Collector Colony,1,8000000,Good
3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,0.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,Akurli road,2,10000000,Best
4.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,0.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,Vaidya Nagar,0,5000000,Low
4.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,0.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,Mount Mary Road,0,5000000,Low
4.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,0.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,21st Road,0,5000000,Low
